cell_type,LIB-04579,LIB-03316,LIB-008191,LIB-03323,LIB-04651,LIB-008187,LIB-03335,LIB-04598,LIB-04647,LIB-04617,LIB-008204,LIB-006810,LIB-008203,LIB-04625,LIB-04610,LIB-04606,LIB-03332,LIB-008177,LIB-008180,LIB-03324,LIB-04611,LIB-007617,LIB-006811,LIB-007622,LIB-04624,LIB-008202,LIB-006807,LIB-008181,LIB-03333,LIB-04592,LIB-008197,LIB-04584,LIB-03325,LIB-04657,LIB-03329,LIB-03322,LIB-04650,LIB-03317,LIB-008190,LIB-03334,LIB-008186,LIB-008205,LIB-04605,LIB-006805,LIB-04613,LIB-007619,LIB-007620,LIB-008200,LIB-008199,LIB-008195,LIB-03327,LIB-04586,LIB-04659,LIB-04655,LIB-008183,LIB-03331,LIB-008178,LIB-04643,LIB-04648,LIB-04644,LIB-008184,LIB-03320,LIB-04581,LIB-04652,LIB-03319,LIB-008192,LIB-006814,LIB-04614,LIB-04618,LIB-008189,LIB-008185,LIB-04649,LIB-04645,LIB-03318,LIB-008193,LIB-03321,LIB-04580,LIB-04653,LIB-04615,LIB-006815,LIB-006803,LIB-006804,LIB-007621,LIB-04627,LIB-008201,LIB-007618,LIB-03326,LIB-04658,LIB-04654,LIB-008198,LIB-008194,LIB-04591,LIB-03330,LIB-008179,LIB-04642,LIB-008182
B cell naive,0.0666698471737908,0.0,0.0311201986405428,0.0,0.0,0.0131745793039335,0.0256543699617892,0.0197290916937744,0.0302248153830972,0.0519579401026806,0.0044496698951439,0.0224023707094759,0.0572968227590114,0.0,0.0192143470574851,0.0744407547586474,0.0242570158092909,0.0027918787548273,0.0756436008989595,0.156771114758237,0.0173476520522503,0.0045391571016808,0.133769089827253,0.0,0.191479535345157,0.0434988381799195,0.0,0.10245660056897,0.0120816248297993,0.0088066442289104,0.0723274218726994,0.0538530286316847,0.0,0.0962540918167422,0.0,0.0615689620513012,0.0523413550014079,0.0379502179773034,0.0426711128942469,0.0427081247640168,0.0669645877631617,0.0217737113478617,0.0369606820183343,0.0,0.0521032797143102,0.0108170210515596,0.0152985163775914,0.184722688726802,0.043694752579868,0.0469103659097673,0.0065056325100742,0.0105275026070145,0.0031251252243645,0.0642359985199471,0.0253467077696792,0.0419400213297609,0.0224302029819488,0.0401415867493165,0.0,0.0812076257411803,0.0536201431907571,0.0835661971065998,0.0790854083299471,0.0635539428366106,0.137465086623402,0.0,0.10513354292255,0.0686512983550606,0.0090273925270242,0.04390227638284,0.0103676822680993,0.0236324595332739,0.0105614241584923,0.0590886089002408,0.0,0.0424586051183215,0.0375780820920589,0.0148376448839006,0.0077822625632207,0.0696352824768827,0.0457326942923931,0.0,0.0,0.200081945796866,0.0246303368654993,0.0148898873557846,0.0,0.0132402513230575,0.104235378089433,0.0,0.0116321272332548,0.0372912828536075,0.0214309001943958,0.0168471744299794,0.920265539649843,0.0868389812243071
B cell memory,0.0637563447248648,0.147313560533985,0.104862529443076,0.184237454240077,0.0896571258397171,0.0108633349901422,0.0235418073821859,0.0696911290423805,0.0976872461986824,0.0895822558761884,0.193333137484507,0.0547509388228187,0.0,0.0928659329532008,0.0594994458933202,0.0,0.126479971559741,0.0813952000300883,0.0406107298415253,0.0,0.0267704357129715,0.0657353045827276,0.0,0.0964148728163969,0.247101567407375,0.0350034003107688,0.104121178002843,0.0,0.0205682918065352,0.0414886525175611,0.0276945348793119,0.0,0.061037104204879,0.0,0.172397295464001,0.0,0.267289591453187,0.144718070494096,0.0056758309732922,0.180635022279828,0.233888683856743,0.471232292573245,0.0087343050477969,0.065045938761792,0.0221832408108007,0.0653436408028484,0.052382756850096,0.33143513160987,0.0119042755488051,0.0,0.0215370039311835,0.0626248575863078,0.0841910715594213,0.078959868900087,0.0275158448861131,0.0845072589435377,0.0668670729173502,0.0810111276843922,0.205786464639154,0.0123807189311507,0.0159178931374344,0.0485573221762152,0.0438534276115607,0.0073990168471571,0.216390102962169,0.0888759512141089,0.362797927581984,0.0073904419296116,0.138935523363157,0.0305398580942066,0.0304098450829462,0.0980291643118367,0.0191693601379271,0.0052935166981949,0.0602916209540473,0.0370799162642191,0.0860466909814205,0.0186420867450767,0.0283797854011724,0.0,0.0437315565211636,0.0782839313739312,0.0658416120090439,0.0,0.116484431691426,0.0357788084432765,0.115938750394588,0.0284474460956769,0.457857385182455,0.0815330695482063,0.0263445730185392,0.150244139909872,0.0499635872501285,0.035470312251029,0.384872553910811,0.125100274415477
B cell plasma,0.2337062379105,0.226020365623105,0.198292859288596,0.131939502767945,0.0287160875247805,0.0642304957886022,0.0557519069835497,0.0932672835295955,0.112660758023538,0.0679262646682203,0.237313657404052,0.123327546129547,0.101636544852989,0.0216968238682425,0.10397080199906,0.263338837762027,0.0953674227765017,0.0327351525903462,0.12264948927178,0.27821192403532,0.0754377321453988,0.0729734135831098,0.17977461726418,0.0444036176175231,0.16146183032358,0.0658595978370853,0.289596439409142,0.170098251047778,0.0663813402818037,0.0278171818992577,0.211829974180958,0.0484408659757619,0.0664507604199839,0.146707096226924,0.144762521639124,0.330788992728408,0.180082027519577,0.114743325313463,0.0918178219892451,0.494856204192633,0.768714234000305,0.030863095024282,0.050255345637688,0.0299289309530984,0.205915851640469,0.271273099641427,0.0848761273750017,0.498649202173427,0.0371012943152177,0.0793139063198277,0.113817537170184,0.0393198513283535,0.0791452080660566,0.137963842185057,0.180661088362177,0.0977264701980741,0.0745648282409358,0.11132700378243,0.0542097158822672,0.0715517143238739,0.0336690088042848,0.327187332528368,0.0930293508571631,0.19272087087746,0.0961699540262582,0.0233096295892329,0.160481593093775,0.127046080528837,0.103848930966557,0.0908131920958373,0.0247586368246532,0.084432555906468,0.0183112127881356,0.0231831124488722,0.0244004808038844,0.217382079693614,0.176832468110974,0.254820616280087,0.205570857218976,0.13905848060918,0.127727862171394,0.0969769492602637,0.118516762832309,0.270169156105791,0.196828219829348,0.0908332765842781,0.0039315011853706,0.0622351834203035,0.087100671500792,0.0298731123550921,0.0263793208302632,0.0783953780098168,0.214553583705011,0.0202645934293341,0.252122688975829,0.236761467264776
T cell CD8+,0.206922915706959,0.197273350638989,0.196723198208287,0.349958755189102,0.112144856532753,0.0474852009749796,0.0868712916959193,0.203946895832957,0.281075155120812,0.100219613865992,0.281481831767845,0.0410462037528277,0.193040281826181,0.110073139943383,0.105827742620849,0.0885127707515761,0.171330811798537,0.122034771811539,0.145514698241499,0.252629887595879,0.048364734633268,0.0695718579949716,0.108470080822093,0.290038732677087,0.347557749142226,0.0834992585436998,0.262438563334293,0.127478844951785,0.04041036045724,0.0576565399622289,0.30878105775045,0.0415032359193536,0.050192130495394,0.0499297574794736,0.370402507571254,0.0884366301048631,0.397646236376514,0.105077546838188,0.0831276875578045,0.324029516627079,0.258303486706496,0.295554921892283,0.0384318356279546,0.0970250618731449,0.219096420081061,0.255521030310847,0.144187564896254,0.790040593401199,0.111852252464284,0.125837897735571,0.159882622262365,0.0949492625719652,0.0571792492864919,0.199828157873027,0.0870727868027112,0.152853720496806,0.058374180575164,0.151140828190959,0.131641160845294,0.129795035261566,0.235383423716395,0.0905522853182058,0.304795286260701,0.185038973914989,0.192413987985365,0.0887835521644207,0.170963814445728,0.107202775393909,0.127780126863009,0.206716155151083,0.0555766470291614,0.188390852497605,0.0898722929175607,0.0755019192514747,0.116536408958872,0.0758990320561038,0.165501629282456,0.0685485085319947,0.0229468943641097,0.142162838132756,0.169243128742876,0.155629947927902,0.247496918367534,0.246883825178689,0.48598465676319,0.253933581250645,0.165986290014551,0.0967793868120798,0.23333048100287,0.136534141974112,0.070512194989724,0.279923797606729,0.0815352813640479,0.0671045476152446,0.159289487536099,0.321377758729393
T cell CD4+ naive,0.0,0.0,0.0,0.0,0.0227605573292317,0.0,0.0,0.0,0.0,0.057144746132976,0.0,0.0,0.0,0.0022761344015542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266867077037959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013179957365721,0.0030574826473159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078632828910434,0.0,0.0,0.0,0.0,0.0,0.0,0.021107674634868,0.0,0.0019175150826115,0.0,0.0,0.0,0.0,0.0223405139809247,0.0,0.0015735471109795,0.0,0.0,0.0,0.0,0.0,0.0,0.0030248831639257,0.0392724401557803,0.0,0.0,0.0,0.0,0.0,0.0
T cell CD4+ memory resting,0.0425241909544117,0.0,0.0429190263218978,0.0,0.005961628561001,0.0411555042881187,0.0837759142553602,0.0244484931100337,0.0,0.0930740822356049,0.0,0.120202864369057,0.0500094953778269,0.0,0.0,0.118230953132992,0.104898881244848,0.136266192625885,0.0428318313937208,0.0639840626541868,0.0226120885878813,0.0,0.0,0.0,0.196937376778225,0.0725539875599213,0.0,0.0943961363208719,0.0,0.0134921722653287,0.101880218398947,0.0011695799564975,0.025805299304195,0.0449235773960346,0.450142398769162,0.026997631610858,0.0,0.103375125656592,0.0047137182129029,0.149859554379789,0.0958801615423781,0.0,0.0432212397488219,0.0,0.0,0.0,0.0,0.0,0.0413690611294355,0.0108460390765441,0.207050184947944,0.0444067728389,0.0366695758986513,0.0006595480658855,0.0,0.0217734448817657,0.0,0.0890723645109214,0.0,0.103940151582148,0.0164868810818364,0.0034795079230796,0.0,0.0247087222081277,0.0,0.0,0.042402673163661,0.0,0.213120328210888,0.0243476273603514,0.0414281770260006,0.0457443224134864,0.0,0.0,0.0,0.0324249956922851,0.0,0.0259512423654538,0.0760426489320007,0.0,0.0,0.0,0.0,0.0,0.0094158472574501,0.0,0.0972236117670817,0.0,0.0,0.0,0.0254400296127403,0.0,0.0264028698543209,0.0,0.0962954368143536,0.145548132801382
T cell CD4+ memory activated,0.0060540382489992,0.0,0.0703849639428193,0.0105215246969638,0.0,0.0028592871293475,0.0,0.0,0.0,0.013446609113117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066472078436908,0.0,0.0048062055311699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273557227140032,0.0,0.0,0.0,0.0,0.001573226782577,0.0,0.0,0.0819599159948971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076706962144612,0.0,0.0,0.0073138569828277,0.0,0.0137556945412681,0.0012183655763367,0.0,0.0003884263685557,0.0,0.0001835423362439,0.0,0.0,0.0,0.0,0.0,0.0,0.0038200056903038,0.0,0.0029582220853568,0.0043782877514078,0.0,0.0247973986260776,0.0,0.0697187674396543,0.0,0.0,0.0035469134466665,0.0,0.0,0.0,0.0,0.0,0.0189778933817073,0.0,0.0,0.0056696825018419,0.0,0.0396106310390737
T cell follicular helper,0.182854394074321,0.163507887835353,0.211286709864192,0.274092212504514,0.123693964374293,0.0963428849112363,0.0884182147167225,0.126756920847978,0.214241805249761,0.0253284733338935,0.173408164733402,0.0621605311696083,0.108345161497769,0.0440342820605949,0.0864935709949089,0.11459919911338,0.221106365642757,0.0717340579701956,0.115399908070531,0.135771785069805,0.0685995795726217,0.0686564795807253,0.0882725637278081,0.1668000775364,0.244354721335311,0.075713204465012,0.0990878307469057,0.126405406435516,0.0783388119102085,0.0683456379418111,0.161625445403949,0.0611935678152057,0.149125117185159,0.0983062130918168,0.134404648124949,0.105711709121714,0.289484017374628,0.0841853693606295,0.0973874462659473,0.38496561454945,0.318407803861753,0.234539302556485,0.0337573814321946,0.0906234543857586,0.131286819755814,0.13920055307229,0.0971805230225159,0.433389056700424,0.0909971703427855,0.102435862815966,0.188884994255946,0.107071045765234,0.0610702941869047,0.152272587896535,0.0352877884034574,0.121329547785872,0.0767447789877381,0.0891577912294217,0.104902184905267,0.104198861870151,0.0933890338391159,0.0975779162215706,0.245683553772033,0.121311022274966,0.118384845741236,0.0791950411598259,0.169994023328793,0.0934829643296676,0.140621741425425,0.149424211111575,0.0401277388151463,0.100384761776445,0.145706378611624,0.143098897361587,0.0464929288228012,0.070950852292599,0.143581206797159,0.0530112043984207,0.111879748345462,0.0626154389069863,0.112502594380913,0.0744230982437839,0.0971269927364352,0.108914175008033,0.188632422353878,0.12825865080801,0.142398194247977,0.0504924307993704,0.16942656439006,0.130465892329858,0.0497970854134351,0.164461325553332,0.109394779382964,0.0731326252139514,0.161398620566585,0.271668519095459
T cell regulatory (Tregs),0.0065346045399704,0.045966191653678,0.0183651818229514,0.0447457262464055,0.0052463275652205,0.0064210803677152,0.0322841737430785,0.0032747480707298,0.0894712824199211,0.0,0.0605227201156042,0.0,0.0,0.0,0.0086550918235086,0.0,0.030794294138804,0.0223672543907472,0.0072695339515153,0.0461865121632402,0.0,0.0,0.0,0.02501343851958,0.0210570716217431,0.0130831998968824,0.0099696389833474,0.0,0.0172698382473765,0.0,0.0391726911517425,0.0,0.0,0.0,0.0446403799524082,0.0089477893945648,0.0909442679513147,0.020528310939964,0.0062303083591475,0.0677860941003362,0.0755637095962715,0.0,0.0,0.0,0.0067353750622751,0.0206307767184264,0.0174693114849572,0.0039836449689793,0.012035902368683,0.0144642170149263,0.0016856177036353,0.0148380898040717,0.0,0.108497215984562,0.0060887138675103,0.0180543398287201,0.0,0.0405849951266806,0.0,0.0017535648663964,0.0,0.0,0.0057991471945304,0.016165863588636,0.0649974700240148,0.0106939272407419,0.0123665010067839,0.0,0.0,0.0,0.0,0.0524849221239172,0.0232453468068138,0.0026468717006576,0.0,0.0,0.0088155579440483,0.0,0.0,0.0087519888943928,0.0,0.0,0.0045579599518148,0.0123956174543568,0.0144285917758118,0.0023033225567109,0.0250805516545876,0.0,0.129048978221381,0.0,0.0,0.0907879592087973,0.0,0.0120208227034511,0.0079811673562544,0.0
T cell gamma delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125260370978652,0.0,0.0130768716509789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068221333465323,0.0,0.0,0.0,0.0104320828065879,0.0,0.0,0.0,0.0,0.063099369660016,0.0027093470441047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0630364405461854,0.0983697723320071,0.0035847308704307,0.0,0.0,0.0,0.0,0.0,0.0,0.0023257273713078,0.0,0.0,0.0,0.0,0.0121039101389834,0.0,0.0,0.0,0.0052174855020827,0.0051651132958068,0.0,0.0,0.0,0.0,0.0,0.0179425754341616,0.0,0.0,0.0,0.0,0.01394685498119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118418400692919,0.0,0.0,0.0,0.0,0.0,0.0025327616211918,0.0,0.0,0.0,0.0,0.0
